CANAL,NR_IDENTIFICACAO,CLASSIFICACAO_CANAL,TIPO_CONTEUDO_CANAL,OFERTA_CLIENTE,DATA_INICIO_OFERTA,DENSIDADE_CANAL,NOME_PROGRAMADORA,CNPJ_PROGRAMADORA,CLASSIFICAO_PROGRAMADORA,PAIS_PROGRAMADORA
CANAL AMAZON SAT,16959.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2004-05-03,PADRÃO,AMAZONIA CABO LTDA,02.311.604/0001-84,SEM INFORMAÇÃO,BRASIL
CANAL CAPIBARIBE,41339.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2001-11-21,PADRÃO,ASSOCIAÇÃO DOS CONSTITUINTES E USUÁRIOS DO CANAL COMUNITÁRIO DO GRANDE RECIFE- CANAL CAPIBARIBE,05.204.826/0001-96,SEM INFORMAÇÃO,BRASIL
CANAL COMUNITÁRIO - TV SETE LAGOAS - CANAL 9,32247.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2007-05-23,PADRÃO,ASSOCIAÇÃO ENTIDADES CANAL COMUNITÁRIO DE TVS POR ASSINATURA DE SETE LAGOAS,09.022.292/0001-38,SEM INFORMAÇÃO,BRASIL
CANAL COMUNITÁRIO DE NOVA ODESSA,52079.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2022-10-01,PADRÃO,INSTITUTO DE COMUNICAÇÃO INTEGRADO DE NOVA ODESSA - ICINO,46.264.074/0001-36,SEM INFORMAÇÃO,BRASIL
CANAL COMUNITÁRIO DE SUZANO,41631.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2018-03-20,PADRÃO,"INSTITUTO DE MEMÓRIA AUDIOVISUAL DE MOGI DAS CRUZES, SUZANO, POÁ E ALTO TIETÊ - IMAM",27.438.143/0001-36,SEM INFORMAÇÃO,BRASIL
CANAL COMUNITÁRIO TAUBATÉ,37948.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2002-10-21,PADRÃO,REDE CIDADE DE COMUNICACAO E CIDADANIA,05.356.414/0001-71,SEM INFORMAÇÃO,BRASIL
CANAL PLURAL,29164.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2017-02-01,PADRÃO,ASSOCIAÇÃO CELEBREIROS,03.159.024/0001-86,SEM INFORMAÇÃO,BRASIL
CANAL UNIVERSITÁRIO DO RIO DE JANEIRO - UTV,28617.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1999-08-31,PADRÃO,ASSOCIAÇÃO DE TELEVISÃO DAS UNIVERSIDADES DO RIO DE JANEIRO - UTV,02.833.278/0001-75,SEM INFORMAÇÃO,BRASIL
EA - EMISSORAS ASSOCIADAS,36079.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2014-05-17,PADRÃO,INSTITUTO ABCCOM,20.800.979/0001-90,SEM INFORMAÇÃO,BRASIL
FTVE JUNDIAÍ,36005.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2017-04-01,PADRÃO,FUNDAÇÃO TELEVISÃO EDUCATIVA DE JUNDIAÍ,02.150.976/0001-76,SEM INFORMAÇÃO,BRASIL
RIT TV,20462.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1987-01-01,PADRÃO,TELEVISAO CIDADE MODELO LTDA,03.862.216/0001-54,SEM INFORMAÇÃO,BRASIL
SUMMER TV,37415.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2016-09-09,PADRÃO,ASSOCIAÇÃO DOS USUÁRIOS DO CANAL COMUNITÁRIO DE BERTIOGA - SUMMER TV,24.592.810/0001-42,SEM INFORMAÇÃO,BRASIL
TV BANQUETA,41773.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2013-12-13,PADRÃO,ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DE CANAL COMUNITÁRIO DE NOVA LIMA - MG -,18.727.037/0001-81,SEM INFORMAÇÃO,BRASIL
TV CACHOEIRINHA,21520.30005,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2018-11-15,PADRÃO,"ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ",10.371.708/0001-02,SEM INFORMAÇÃO,BRASIL
TV CÂMARA,13576.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1998-01-20,PADRÃO,CAMARA DOS DEPUTADOS,00.530.352/0001-59,SEM INFORMAÇÃO,BRASIL
TV CÂMARA NATAL,40972.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2003-04-29,PADRÃO,CÂMARA MUNICIPAL DO NATAL,08.456.899/0001-63,SEM INFORMAÇÃO,BRASIL
TV CANELA,52582.30004,Canal de programação comum,Canal de conteúdo em geral,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2022-10-06,PADRÃO,ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV,33.901.784/0001-88,SEM INFORMAÇÃO,BRASIL
TV CANOAS,21520.30002,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2012-10-10,PADRÃO,"ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ",10.371.708/0001-02,SEM INFORMAÇÃO,BRASIL
TV CARAMURU,24725.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2013-08-05,PADRÃO,ASSOCIAÇÃO COMUNITÁRIA CARAMURU,11.901.427/0001-87,SEM INFORMAÇÃO,BRASIL
TV CAXIAS,40401.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2010-07-15,PADRÃO,ASSOCIAÇÃO DO CANAL COMUNITÁRIO DE CAXIAS DO SUL,07.075.395/0001-30,SEM INFORMAÇÃO,BRASIL
"TV CIDADE LIVRE, O CANAL COMUNITÁRIO DE BRASÍLIA",42770.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1999-03-03,PADRÃO,ASSOCIACAO DAS ENTIDADES USUARIAS DE CANAL COMUNITARIO NO DISTRITO FEDERAL - TV COMUNITARIA,03.006.470/0001-50,SEM INFORMAÇÃO,BRASIL
TV CIRCULANDO CANAL COMUNITÁRIO DE ARARAQUARA,43066.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2008-03-17,PADRÃO,ASSOCIAÇÃO DOS USUÁRIOS DE SERV. DE TV COM SINAIS TRANSPORTADOS POR MEIOS FÍSICO E RADIOFUSÃO DE ARARAQUARA  SP,10.724.055/0001-06,SEM INFORMAÇÃO,BRASIL
TV COM,33164.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2005-11-20,PADRÃO,ASSOCIAÇÃO DOS USUÁRIOS DA TV E CANAL COMUNITÁRIO DE LAURO DE FREITAS,07.457.311/0001-23,SEM INFORMAÇÃO,BRASIL
TV COMUNITÁRIA CIDADE LIVRE,14411.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2002-06-24,PADRÃO,ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE RIO CLARO,04.511.886/0001-99,SEM INFORMAÇÃO,BRASIL
TV COMUNITÁRIA MARECHAL,31584.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2016-01-05,PADRÃO,ASSOCIAÇÃO DE TV COMUNITÁRIA MARECHAL,17.073.434/0001-14,SEM INFORMAÇÃO,BRASIL
TV DIMENSÃO,37557.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2016-02-26,PADRÃO,ASSOCIAÇÃO DOS USUÁRIOS DO CANAL COMUNITÁRIO DE SÃO JOÃO DA BOA VISTA,26.662.467/0001-90,SEM INFORMAÇÃO,BRASIL
TV ESCOLA,675.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2013-05-03,PADRÃO,ASSOCIACAO DE COMUNICACAO EDUCATIVA ROQUETTE PINTO,02.196.013/0001-03,SEM INFORMAÇÃO,BRASIL
TV ESTEIO,21520.30004,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2018-11-15,PADRÃO,"ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ",10.371.708/0001-02,SEM INFORMAÇÃO,BRASIL
TV FEEVALE,41770.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2002-12-12,PADRÃO,ASSOCIAÇÃO PRO-ENSINO SUPERIOR EM NOVO HAMBURGO,91.693.531/0001-62,SEM INFORMAÇÃO,BRASIL
TV GLOBO,4727.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1965-04-26,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
TV GLOBO,4727.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1965-04-26,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
TV GRAMADO,52582.30003,Canal de programação comum,Canal de conteúdo em geral,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2022-09-17,PADRÃO,ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV,33.901.784/0001-88,SEM INFORMAÇÃO,BRASIL
TV GRAVATAÍ,21520.30007,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2018-11-15,PADRÃO,"ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ",10.371.708/0001-02,SEM INFORMAÇÃO,BRASIL
TV GUARULHOS,44214.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2006-08-21,PADRÃO,PROJETO IRRADIANTE DE COMUNICAÇÃO,01.874.614/0001-65,SEM INFORMAÇÃO,BRASIL
TV INFORMAÇÃO,47990.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2019-02-15,PADRÃO,INSTITUTO AUDIOVISUAL JOSÉ DE ANCHIETA - IAJA,33.145.553/0001-91,SEM INFORMAÇÃO,BRASIL
TV KIRIMURÊ,38423.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2016-05-10,PADRÃO,FILHOS DO MUNDO - FEME,03.218.098/0001-46,SEM INFORMAÇÃO,BRASIL
TV METRÓPOLE,32406.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2016-05-23,PADRÃO,ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE OURINHOS,24.292.022/0001-30,SEM INFORMAÇÃO,BRASIL
TV MONTENEGRO,52582.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2019-05-26,PADRÃO,ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV,33.901.784/0001-88,SEM INFORMAÇÃO,BRASIL
TV NATAL,22230.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2011-12-12,PADRÃO,ASSOCIACAO DE TV COMUNITARIA E CIDADANIA DE NATAL RN,14.940.867/0001-31,SEM INFORMAÇÃO,BRASIL
TV NOTÍCIA MONGAGUÁ,47897.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2019-04-23,PADRÃO,INSTITUTO DE MEMORIA AUDIOVISUAL DE MONGAGUÁ-IMAM,34.305.207/0001-96,SEM INFORMAÇÃO,BRASIL
TV NOVO HAMBURGO,21520.30008,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2019-06-12,PADRÃO,"ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ",10.371.708/0001-02,SEM INFORMAÇÃO,BRASIL
TV OSASCO,42435.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2007-09-27,PADRÃO,ASSOCIAÇÃO DOS USUÁRIOS DA TV E CANAL COMUNITÁRIO DA CIDADE DE OSASCO,04.813.542/0001-34,SEM INFORMAÇÃO,BRASIL
TV POP,30477.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2015-08-01,PADRÃO,ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DA TV COMUNITÁRIA DE PETRÓPOLIS - TV POP,22.494.557/0001-69,SEM INFORMAÇÃO,BRASIL
TV SÃO LEOPOLDO,21520.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2012-10-15,PADRÃO,"ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ",10.371.708/0001-02,SEM INFORMAÇÃO,BRASIL
TV SAPUCAIA DO SUL,21520.30003,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2018-11-15,PADRÃO,"ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ",10.371.708/0001-02,SEM INFORMAÇÃO,BRASIL
TV SENADO,43097.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1996-02-05,PADRÃO,SENADO FEDERAL,00.530.279/0001-15,SEM INFORMAÇÃO,BRASIL
TV TORRES,52582.30002,Canal de programação comum,Canal de conteúdo em geral,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2022-09-17,PADRÃO,ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV,33.901.784/0001-88,SEM INFORMAÇÃO,BRASIL
TV TRAMANDAÍ,52582.30005,Canal de programação comum,Canal de conteúdo em geral,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2022-10-15,PADRÃO,ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV,33.901.784/0001-88,SEM INFORMAÇÃO,BRASIL
TV UNIVALI,7102.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2002-08-01,PADRÃO,FUNDAÇÃO UNIVERSIDADE DO VALE DO ITAJAÍ,84.307.974/0001-02,SEM INFORMAÇÃO,BRASIL
TV UNIVERSITÁRIA DE RECIFE,39065.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1968-11-22,PADRÃO,UNIVERSIDADE FEDERAL DE PERNAMBUCO,24.134.488/0001-08,SEM INFORMAÇÃO,BRASIL
TV VALE DAS ARTES,42256.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1998-02-28,PADRÃO,RADIO E CANAL COMUNITÁRIO DE PERUÍBE RADIO E TV VALE DAS ARTES,04.290.786/0001-80,SEM INFORMAÇÃO,BRASIL
TV VIAMÃO,21520.30006,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2016-01-05,PADRÃO,"ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ",10.371.708/0001-02,SEM INFORMAÇÃO,BRASIL
TV VILA IMPERIAL - ORGANIZAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE PETRÓPOLIS,12916.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2003-10-02,PADRÃO,TV VILA IMPERIAL - ORGANIZAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE PETRÓPOLIS,05.322.835/0001-81,SEM INFORMAÇÃO,BRASIL
TV VOTORANTIM,43589.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2009-12-10,PADRÃO,ASSOCIAÇÃO DE ENTIDADES USUÁRIAS E ADMINISTRADORAS DO CANAL COMUNITÁRIO DA CIDADE DE VOTORANTIM,11.187.987/0001-11,SEM INFORMAÇÃO,BRASIL
TVCOM,23412.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1999-12-24,PADRÃO,ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DE CANAL COMUNITÁRIO EM SANTOS,03.199.584/0001-64,SEM INFORMAÇÃO,BRASIL
TVCOM CAMPO GRANDE,20786.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1998-01-01,PADRÃO,"SOCIEDADE DE DESENVOLVIMENTO CULTURAL,ECOLOGICA E SOCIAL DO M.S.",01.746.087/0001-03,SEM INFORMAÇÃO,BRASIL
TVCOMBR,23337.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2012-11-01,PADRÃO,ASSOCIAÇÃO BRASILEIRA DE CANAIS COMUNITÁRIOS,04.789.808/0001-50,SEM INFORMAÇÃO,BRASIL
TVC-RIO,41628.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,1997-10-30,PADRÃO,ASSOCIAÇÃO DE ENTIDADES CANAL COMUNITARIO DE TVS POR ASSINATURA DO RIO DE JANEIRO,03.105.610/0001-48,SEM INFORMAÇÃO,BRASIL
TVITAPÊ - TV COMUNITÁRIA DE ITAPETININGA,46626.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2002-01-10,PADRÃO,ASSOCIAÇÃO DAS ENTIDADES DO CANAL COMUNITÁRIO DE ITAPETININGA,04.728.406/0001-46,SEM INFORMAÇÃO,BRASIL
VALE TV,41579.30001,SEM INFORMAÇÃO,SEM INFORMAÇÃO,CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA,2017-04-27,PADRÃO,ASSOCIAÇÃO DE COMUNICAÇÃO VALE TV,28.115.546/0001-07,SEM INFORMAÇÃO,BRASIL
