FESTIVAL,MOSTRA_CATEGORIA,DT_INICIO_FESTIVAL,DT_TERMINO_FESTIVAL,TITULO_ORIGINAL,TIPO_APOIO,METRAGEM,REPRESENTANTE,RAZAO_SOCIAL_PRODUTORA,CNPJ_PRODUTORA,VALOR_APOIO
When East Meets West,Sem Informação,2019-01-20,2019-01-22,"ADONE ""Meu Avô Fazia Filme Pornô""",Apoio Financeiro,Projeto de Longa,Julio Adamor Cruz Neto ,Oka Comunicações Ltda,03.117.764/0001-50,4600.0
Roterdã ,Bright Future Competition ,2019-01-23,2019-02-03,Enquanto estamos aqui,Apoio Financeiro,Longa, Luana Melgaço Silva Marques,Anavilhana Filmes Ltda ME ,07.525.577/0001-66,4600.0
Roterdã ,Say no More ,2019-01-23,2019-02-03,Bem no Meio do Céu ,Apoio Financeiro,Curta,Thiago Brito Brandão ,DILÚVIO FILMES PRODUÇÕES ARTÍSTICAS LTDA,13.571.915/0001-07,4600.0
Roterdã ,Bright Future Competition ,2019-01-23,2019-02-03,A Noite Amarela,Apoio Financeiro,Longa,Rodolpho Cavalcanti de Barros ,Rodolpho Cavalcanti de Barros ME ,20.820.497/0001-00,4600.0
Roterdã ,Bright Future Mid-Lenght,2019-01-23,2019-02-03,Animal Indireto,Apoio Financeiro,Longa,Daniel Lentini Faria,Daniel Lentini Faria,00.000.000/0000-00,4600.0
Sundance ,World Cinema Dramatic Competition ,2019-01-24,2019-02-03,Divino Amor ,Apoio Financeiro,Longa,Rachel Daisy Clarke Ellis ,Desvia Produções Artísticas Ltda ME,12.658.679/0001-90,4025.0
Sundance ,Short Film Section,2019-01-24,2019-02-03,O Mistério da Carne,Apoio Financeiro,Curta,Rafaela Camelo Vieira,Apoteótica Cinematográfica Ltda,15.526.951/0001-76,4025.0
Cinemart / Roterdã Lab ,Sem Informação,2019-01-27,2019-01-30,Passagem Esperança,Apoio Financeiro,Projeto de Longa,Fernando Segtowick Gomes Cardoso Junior,Marahu Produções de Cinema e Televisão Ltda ME,22.446.460/0001-80,4600.0
Cinemart / Roterdã Lab ,Sem Informação,2019-01-27,2019-01-30,E os Meus Olhos Ficam Sorrindo ,Apoio Financeiro,Projeto de Longa,André de Novais Oliveira,Filmes de Plástico Produções Audiovisuais Ltda ME ,17.456.554/0001-09,4600.0
Cinemart / Roterdã Lab ,Sem Informação,2019-01-27,2019-01-30,A Nuvem Rosa,Apoio Financeiro,Projeto de Longa,Patrícia Ribeiro Barbieri Stern,Invideo Produções Cinematográficas Ltda,90.130.634/0001-51,4600.0
Clermont - Ferrand,International Competition ,2019-02-01,2019-02-09,Ainda Ontem,Apoio Financeiro,Média,Jessica Candal Sato,Grafo Audiovisual Ltda ME,09.437.566/0001-50,4600.0
Berlim ,Panorama,2019-02-07,2019-02-16,Greta,Apoio Financeiro,Longa,Armando Pinto Praca Neto ,ARMANDO PINTO PRACA NETO ­ ME,07.543.070/0001-35,4600.0
Berlim ,Berlinale Forum ,2019-02-07,2019-02-16,Chão,Apoio Financeiro,Longa,Camila Silva Freitas,Trotoar -  Produção de Serviços Audiovisuais Ltda ME,13.486.716/0001-92,4600.0
Berlim ,Panorama,2019-02-07,2019-02-16,Estou me guardando para quando o carnaval chegar,Apoio Financeiro,Longa,Marcelo Ferreira de Oliveira Gomes, REC Produtores Associados LTDA,02.669.022/0001-74,4600.0
Berlim ,Generation,2019-02-07,2019-02-16,Espero tua (re)volta,Apoio Financeiro,Longa,Eliza Ribeiro Capai,TVa2 Produções Ltda ME,09.514.942/0001-62,4600.0
Berlim ,Forum,2019-02-07,2019-02-16,A rosa azul de Novalis,Apoio Financeiro,Média,Gustavo Vinagre Alves,Carneiro Verde Filmes LTDA-ME, 20.756.903/0001-04,4600.0
Berlinale: Co-Production Market,Sem Informação,2019-02-09,2019-02-13,Regra 34,Apoio Financeiro,Projeto de Longa,Julia Murat e Addario, Esquina Produções Artísticas LTDA, 14.798.449/0001-51,4600.0
Punta Del Este,Competição Oficial,2019-02-16,2019-02-24,A Voz do Silêncio,Apoio Financeiro,Longa,Andre Tarik Jirges Dieb Jemma Ristum,SOMBUMBO FILMES LTDA,04.687.576/0001-20,2300.0
Punta Del Este,Competitiva Latinoamericana,2019-02-16,2019-02-24,O Banquete,Apoio Financeiro,Longa,Daniela Gontijo Alves Pinto,"CISMA PRODUCOES CINEMATOGRAFICAS, EVENTOS E TEATRO LTDA",05.919.250/0001-43,2300.0
FICUNAM,Aciertos - Encuentro Internacional de Escuelas ,2019-02-28,2019-03-10,"Cravo, Lírio e a Rosa",Apoio Financeiro,Média,Maria Julia Pereira de Paiva,Maria Julia Pereira de Paiva,00.000.000/0000-00,4025.0
Guadalajara,Cortometraje Iberoamericano,2019-03-08,2019-03-15,Eu Sou o Super-Homem,Apoio Financeiro,Média,Rodrigo Fernando Batista,Tabuleiro Filmes LTDA ME,10.663.007/0001-47,4025.0
Guadalajara Construye,Guadalajara Construye,2019-03-08,2019-03-15,Filho de Boi,Apoio Financeiro,Longa,Haroldo de Carvalho Abreu Borges, GMB Produtora de Cinema e Video LTDA ME, 09.011.546/0001-12,4025.0
Cinéma du Réel,International Competition ,2019-03-15,2019-03-24,A rosa azul de Novalis,Apoio Financeiro,Longa,Rodrigo Carneiro da Silva,Carneiro Verde Filmes LTDA-ME, 20.756.903/0001-04,4600.0
Torino Film Lab (Grécia),Script Lab,2019-03-18,2019-03-24,Indolor ,Apoio Financeiro,Projeto de Longa,Michael Wahrmann Stein,Sancho Filmes LTDA,11.000.556/0001-02,4600.0
Málaga Work in Progress,Sem Informação,2019-03-19,2019-03-22,Filho de Boi,Apoio Financeiro,Longa,Haroldo de Carvalho Abreu Borges, GMB Produtora de Cinema e Video LTDA ME, 09.011.546/0001-12,4600.0
CPH:DOX,F:ACT AWARD COMPETITION,2019-03-20,2019-03-31,Relatos do Front,Apoio Financeiro,Longa,Renato Caldas Coelho Martins,Jacqueline Filmes ltda,09.064.138/0001-29,4600.0
Toulouse,Documentary Competition,2019-03-22,2019-03-31,O Desmonte do Monte,Apoio Financeiro,Longa,Sinai Mello e Silva Sganzerla, Mercúrio Produções Ltda  ME, 04.760.800/0001-61,4600.0
Cinélatino - Cinéma en Developpement,Sem Informação,2019-03-22,2019-03-31,Todos os demônios estão mortos,Apoio Financeiro,Projeto de Longa,Marcus Vinicius de Freitas Vasconcelos,Estudio Teremim Filmes e Serviços LTDA,12.975.490/0001-20,4600.0
Toulouse,Competition for Short Documentary,2019-03-22,2019-03-31,Liberdade,Apoio Financeiro,Média,Vinicius Silva de Abreu,A Flor e a Nausea LTDA - ME,18.584.832/0001-68,4600.0
Guiões,Competição Oficial de Roteiro,2019-03-27,2019-03-29,Alternativa D,Apoio Financeiro,Projeto de Longa,Letícia Fudissaku,Letícia Fudissaku,00.000.000/0000-00,4600.0
Guiões,Competição Oficial de Roteiro,2019-03-27,2019-03-29,Pantanal VR,Apoio Financeiro,Projeto de Longa,Thiago Foresti,Forest Comunicação  Socioambiental L LTDA ME  ,21.567.273/0001-92,4600.0
Guiões,Competição Oficial de Roteiro,2019-03-27,2019-03-29,O Rio,Apoio Financeiro,Projeto de Longa,Wislan Esmeraldo de Oliveira,Tardo Filmes LTDA ME,16.894.643/0001-66,4600.0
Cinélatino - Cine em Construcción,Sem Informação,2019-03-28,2019-03-29,Helen,Apoio Financeiro,Projeto de Longa,André Meirelles Collazzi ,Prosperidade Comunicação e Filmes,17.545.702/0001-53,4600.0
BAFICI,Latin American Competition,2019-04-03,2019-04-14,Mr. Leather,Apoio Financeiro,Longa,Daniel Nolasco de Souza,DAFUQ FILMES LTDA,19.153.140/0001-28,2300.0
BAFICI,Competencia de Derechos Humanos,2019-04-03,2019-04-14,Espero tua (re)volta,Apoio Financeiro,Longa,Eliza Ribeiro Capai,TVa2 Produções Ltda ME,09.514.942/0001-62,2300.0
BAL,Sem Informação,2019-04-04,2019-04-07,"2019,0",Apoio Financeiro,Projeto de Longa,Julia Alves de Oliveira,Punta Colorada Produções Audiovisuais Ltda ME ,13.193.095/0001-59,2300.0
BAL,Sem Informação,2019-04-04,2019-04-07,A vida são dois dias ,Apoio Financeiro,Projeto de Longa,Leonardo Moura Mateus ,Praia à Noite Produções Cinematográficas Ltda,22.159.900/0001-19,2300.0
Visions du Réel,Opening Scenes,2019-04-05,2019-04-13,Socialist Monopoly,Apoio Financeiro,Média,Thiago Carvalhaes Borba de Araujo,Cozinha Produções LTDA,22.704.222/0001-28,4600.0
Visions du Réel,Burning Lights Competition,2019-04-05,2019-04-13,Sete Anos em Maio,Apoio Financeiro,Média,Affonso Uchôa Alonso Rodrigues ,Vasto Mundo LTDA,17.899.391/0001-20,4600.0
Santa Maria da Feira,Secção Competitiva de Curtas Metragens,2019-04-07,2019-04-14,Carne ,Apoio Financeiro,Curta,Mariana Jaspe de Souza Oliveira ,Mariana Jaspe de Souza Oliveira,00.000.000/0000-00,4600.0
Santa Maria da Feira,Secção Competitiva de Curtas Metragens,2019-04-07,2019-04-14,Quando Elas Cantam,Apoio Financeiro,Média,Maria Claudia Dias dos Reis,Klaxon Cultura Audiovisual Ltda.-ME,09.397.798/0001-21,4600.0
Santa Maria da Feira,Secção Competitiva de Curtas Metragens,2019-04-07,2019-04-14,As Coisas Infinitas: Menino com Boné,Apoio Financeiro,Curta,Nicolas Thomé Zetune,L C de Barros Oliveira ME,14.723.199/0001-90,4600.0
Uruguai ,Competencia de Cortometrajes Internacionales,2019-04-17,2019-04-27,Mona,Apoio Financeiro,Média,Luíza Zaidan Granato,A Fúria Filmes Produções Artísticas Ltda.,24.902.509/0001-98,2300.0
Uruguai ,Competitva Iberoamericana,2019-04-17,2019-04-27,Lembro mais dos corvos ,Apoio Financeiro,Longa,Gustavo Vinagre Alves,Carneiro Verde Filmes LTDA-ME, 20.756.903/0001-04,2300.0
Uruguai ,Competitiva,2019-04-17,2019-04-27,Os Sonâmbulos,Apoio Financeiro,Longa,Tiago Mata Machado Aguiar,Filmes do Cerrado Produções Cinematográficas Ltda,07.530.292/0001-13,2300.0
Art of the Real,Sessão Art Of The Real US Premiere,2019-04-18,2019-04-28,Enquanto estamos aqui,Apoio Financeiro,Longa,Luiz Eduardo Araripe Pretti Miranda,Anavilhana Filmes Ltda-ME,07.525.577/0001-66,4025.0
IndieLisboa ,Herói Independente ,2019-05-02,2019-05-12,Seus ossos e seus olhos,Apoio Financeiro,Longa,Lara Brusco de Oliveira Lima,Liracine Produções Audiovisuais Ltda,11.788.633/0001-22,4600.0
IndieLisboa ,Competitiva Silvestre,2019-05-02,2019-05-12,Os Jovens Baumanns,Apoio Financeiro,Longa,Bruna Carvalho Almeida,Punta Colorada Produções Audiovisuais LTDA-ME,13.193.095/0001-59,4600.0
IndieLisboa ,Competitiva Silvestre,2019-05-02,2019-05-12,A rosa azul de Novalis,Apoio Financeiro,Média,Rodrigo Carneiro da Silva,Carneiro Verde Filmes LTDA-ME, 20.756.903/0001-04,4600.0
Cannes ,Un Certain Regards,2019-05-14,2019-05-25,A VIDA INVISÍVEL DE EURIDICE GUSMÃO,Apoio Financeiro,Longa,Julia Lafayette Stockler Macintyre Fischer Linhares,Camisa Treze Cultural Ltda.,05.387.293/0001-25,4600.0
FESTin ,Competitiva ,2019-05-15,2019-05-22,Boni Bonita,Apoio Financeiro,Longa,Daniel Barosa ,NKLS Produções Ltda. - ME,12.521.386/0001-66,4600.0
FESTin ,Longas de Ficção,2019-05-15,2019-05-22,Todas as canções de amor ,Apoio Financeiro,Longa,Joana Guttman Mariani ,Diane Peixoto Maia ME ,07.419.227/0001-15,4600.0
FESTin ,Sessão competitiva,2019-05-15,2019-05-22,Unicórnio,Apoio Financeiro,Longa,Eduardo Lima de Castro Nunes,3 Tabela Films e Produções Artísticas LTDA,09.107.296/0001-19,4600.0
Cine Político,Sección Competencia Oficial Internacional de medio,2019-05-16,2019-05-23,Nossos Mortos Têm Voz,Apoio Financeiro,Média,Fernando Carlos de Sousa,Quiprocó Filmes Ltda,19.409.664/0001-37,2300.0
Cine Político,Sección Competencia Oficial Internacional de medio,2019-05-16,2019-05-23,Bellatrix ,Apoio Financeiro,Média,Lucas Soares Constanzi ,Sabujo Filmes Eireli ME,15.709.076/0001-68,2300.0
Molodist Kiev ,International Student Competition,2019-05-25,2019-06-02,Concreto Cinza Abstrato ,Apoio Financeiro,Curta,Henrique Santos Grise,Henrique Santos Grise 37829125864,23.535.312/0001-03,4600.0
Australab,3 Puertos Cine convocatoria desarrollo 2019,2019-05-28,2019-06-02,De Guiné,Apoio Financeiro,Projeto de Longa,Caroline Viecili Leone,Besouro Filmes Ltda.,08.112.710/0001-15,2300.0
Australab,Laboratório de desenvolvimento de roteiro/produção,2019-05-28,2019-06-02,A Fera na Selva,Apoio Financeiro,Projeto de Longa,Sérgio Borges Martins Filho,Anavilhana Filmes Ltda-ME,07.525.577/0001-66,2300.0
Hamburgo,Competição de Curtas-metragens,2019-06-04,2019-06-10,Rise,Apoio Financeiro,Média,Barbara Wagner,Ponte Produtoras Associadas LTDA ,22.543.352/0001-26,4600.0
Sheffield Doc/Fest,Competição de Longas-metragem,2019-06-06,2019-06-11,Bloqueio,Apoio Financeiro,Longa,Maria Victória Álvares Maia Leite ,Ponte Produtoras Associadas LTDA ,22.543.352/0001-26,4600.0
Sheffield Doc/Fest,Tim Hetherington Award Sheffield ,2019-06-06,2019-06-11,Espero tua (re)volta,Apoio Financeiro,Longa,Eliza Ribeiro Capai,TVa2 Produções Ltda ME,09.514.942/0001-62,4600.0
FILMADRID,Um sonho intenso,2019-06-06,2019-06-15,Os Jovens Baumanns,Apoio Financeiro,Longa,Bruna Carvalho Almeida,Punta Colorada Produções Audiovisuais LTDA-ME ,13.193.095/0001-59,4600.0
Huesca,Concurso Iberoamericano de Cortometrajes,2019-06-07,2019-06-15,Aurora,Apoio Financeiro,Média,Leonardo Ayres Furtado,Tempero Filmes LTDA,15.745.495/0001-55,4600.0
Huesca,Concurso Iberoamericano de Cortometrajes,2019-06-07,2019-06-15,Concreto Cinza Abstrato ,Apoio Financeiro,Curta,Henrique Santos Grise,Henrique Santos Grise 37829125864,23.535.312/0001-03,4600.0
EAVE Puentes ,Sem Informação,2019-06-10,2019-06-15,Casa sem dono,Apoio Financeiro,Projeto de Longa,Daniel Pech Bezerra,Multiverso Filmes Produções Artísticas Ltda,29.121.096/0001-28,4600.0
EAVE Puentes ,Sem Informação,2019-06-10,2019-06-15,Ruas da Glória,Apoio Financeiro,Projeto de Longa,Daniel van Hoogstraten,Syndrome Filmes e Produções Cinematográficas Ltda,09.409.976/0001-97,4600.0
Annecy,Perspectives,2019-06-10,2019-06-15,Sangro,Apoio Financeiro,Curta,Thiago Amaral Minamisawa,Thiago Amaral Minamisawa 33947188803,24.247.127/0001-78,4600.0
Torino Film Lab (Barolo),Script Lab,2019-06-18,2019-06-25,Indolor ,Apoio Financeiro,Projeto de Longa,Michael Wahrmann Stein,Sancho Filmes LTDA,11.000.556/0001-02,4600.0
Frameline,Realness & Revelation,2019-06-20,2019-06-30,MC Jess,Apoio Financeiro,Curta,Julia Araújo Ferreira da Silva,Julia Araújo Ferreira da Silva,00.000.000/0000-00,4025.0
Frameline,Competição de Curtas-metragens,2019-06-20,2019-06-30,Reforma,Apoio Financeiro,Curta,Fábio de Barros Leal,Ponte Produtoras Associadas LTDA,22.543.352/0001-26,4025.0
Bolivia Lab ,Laboratorio y Clínica de Proyectos ,2019-06-24,2019-06-29,Entre a Sola e o Salto ,Apoio Financeiro,Projeto de Longa,Fernanda Sampaio Chicolet Moreira,Tokyo Filmes ,10.468.552/0001-82,2300.0
ANIMALATINA ,Latin American Short ,2019-06-24,2019-06-30,Corações Encouraçados ,Apoio Financeiro,Curta,Jamile dos Santos Coelho ,Jamile dos Santos Coelho - ME ,13.456.325/0001-25,2300.0
ANIMALATINA ,Competencia Oficial ,2019-06-24,2019-06-30,Sangro,Apoio Financeiro,Curta,Thiago Amaral Minamisawa,Thiago Amaral Minamisawa 33947188803,24.247.127/0001-78,2300.0
ANIMALATINA ,Competitiva de Animação Latino Americana,2019-06-24,2019-06-30,O Homem na Caixa,Apoio Financeiro,Curta,Alexandre Cesar Felippe Borges ,Segunda-Feira Filmes Produções Artísticas Ltda ME ,08.798.008/0001-57,2300.0
Munique,International Independents ,2019-06-27,2019-07-06,Temporada,Apoio Financeiro,Longa,André de Novais Oliveira,Filmes de Plástico Produções Audiovisuais Ltda ME ,17.456.554/0001-09,4600.0
Munique ,International Independents ,2019-06-27,2019-07-06,Deslembro,Apoio Financeiro,Longa,Flavia Macedo e Castro,Videofilmes Produções Artísticas Ltda,31.179.864/0001-46,4600.0
Munique ,International Independents ,2019-06-27,2019-07-06,Domingo,Apoio Financeiro,Longa,Clara Isabelle Linhart,Gamarosa Filmes Ltda.,11.422.855/0001-27,4600.0
Bolivia Lab (Cochabamba),Sem Informação,2019-07-01,2019-07-05,O Rio,Apoio Financeiro,Projeto de Longa,Wislan Esmeraldo de Oliveira,Tardo Filmes LTDA ME,16.894.643/0001-66,2300.0
Bolivia Lab (Cochabamba),Taller Internacional de Guión,2019-07-01,2019-07-05,Vento Sudoeste ,Apoio Financeiro,Projeto de Longa,Angelo Defanti,Sobretudo Produção Audiovisual e Artística Ltda,10.441.993/0001-90,2300.0
Vila do Conde,Competição de Curtas-metragens,2019-07-06,2019-07-14,Rise,Apoio Financeiro,Média,Barbara Wagner,Ponte Produtoras Associadas LTDA ,22.543.352/0001-26,4600.0
Marselha,Competição Filme Francês e First Film Competition,2019-07-09,2019-07-15,Fendas ,Apoio Financeiro,Longa,Daniela Antonelli Aun,D. ANTONELLI AUN PRODUÇÕES ME.,08.962.935/0001-60,4600.0
Marselha,International Competition and First Film Competition ,2019-07-09,2019-07-15,Tremor Iê,Apoio Financeiro,Longa,Elena Meirelles Schupfner,Tardo Filmes LTDA ME,16.894.643/0001-66,4600.0
FID Lab,Sem Informação,2019-07-11,2019-07-12,Esqui ,Apoio Financeiro,Projeto de Longa,Andre Torres Mielnik,Parnaioca Cinematográfica Ltda ME,10.278.879/0001-91,4600.0
Durban,Competitiva internacional de curta-metragem,2019-07-18,2019-07-28,O Mistério da Carne,Apoio Financeiro,Média,Rafaela Camelo Vieira,Apoteótica Cinematográfica LTDA,15.526.951/0001-76,5750.0
Doc Montevideo ,Sem Informação,2019-07-31,2019-08-09,Cartografias do Corpo,Apoio Financeiro,Projeto de Longa,Leonardo Xavier Barcelos Costa ,Tandera Filmes e Produções Eireli ME ,20.615.318/0001-94 ,2300.0
Doc Montevideo ,Sem Informação,2019-07-31,2019-08-09,Babado,Apoio Financeiro,Projeto de Longa,Camila Silva Freitas,Trotoar -  Produção de Serviços Audiovisuais Ltda ME,13.486.716/0001-92,2300.0
Doc Montevideo ,Sem Informação,2019-07-31,2019-08-09,Sobre Memória e Esquecimento ,Apoio Financeiro,Projeto de Longa,Ricardo Camargo Martensen,Trilha Mídia Produção Cinematográfica LTDA-ME,09.486.710/0001-48,2300.0
Doc Montevideo ,Sem Informação,2019-07-31,2019-08-09,Pedreiras ,Apoio Financeiro,Projeto de Longa,Brunna Laboissiere Ferreira ,Bruna Laboissiere Ferreira Serviços de Audiovisual ,20.803.810/0001-93,2300.0
Doc Montevideo ,Sem Informação,2019-07-31,2019-08-09,"We, Divine ",Apoio Financeiro,Projeto de Longa,Mariana Mendonça Cobra de Carvalho,Mariana Mendonça Cobra de Carvalho ME  ,16.652.799/0001-30,2300.0
Locarno ,Pardi di Domani ,2019-08-07,2019-08-17,Carne ,Apoio Financeiro,Curta,Camila Magalhães Kater,Doctela - Mídia e Comunicação Ltda,13.857.597/0001-37,4600.0
Locarno ,Pardi di Domani ,2019-08-07,2019-08-17,Chão de Rua ,Apoio Financeiro,Média,Tomás Mancino von der Osten,Cazumbá Produções Culturais Eireli ME,19.668.184/0001-90,4600.0
Locarno ,Competição Oficial ,2019-08-07,2019-08-17,A Febre ,Apoio Financeiro,Longa,Maya Werneck Da-Rin,Tamandua Vermelho  Produções  Artísticas  Eireli ­ ME  ,22.734.795/0001-02,4600.0
Locarno ,Moving Ahead ,2019-08-07,2019-08-17,Swinguerra,Apoio Financeiro,Média,Maria Doralice Lira Amorim ,Ponte Produtoras Associadas LTDA,22.543.352/0001-26,4600.0
Veneza ,Venice Classics - Documentary Films,2019-08-28,2019-09-07,  Babenco: Alguém tem que ouvir o coração e dizer: Parou,Apoio Financeiro,Longa,Bárbara Raquel Paz,Hector Babenco Filmes EIRELI ,46.848.701/0001-86,4600.0
Toronto ,Short Cuts Program ,2019-09-05,2019-09-15,Carne ,Apoio Financeiro,Curta,Camila Magalhães Kater,Doctela - Mídia e Comunicação Ltda,13.857.597/0001-37,4025.0
Toronto ,Wavelenghts Programme ,2019-09-05,2019-09-15,Sete Anos em Maio ,Apoio Financeiro,Média,Affonso Uchôa Alonso Rodrigues ,Vasto Mundo LTDA,17.899.391/0001-20,4025.0
Viña del Mar ,Competencia Intl Cortometrajes de Escuela ,2019-09-10,2019-09-14,Luto,Apoio Financeiro,Curta,Eduardo Martins Zimermann Camargo ,Anne Lise Filartiga Ale - ME,13.980.615/0001-73,2300.0
