,CANAL,NR_IDENTIFICACAO,CLASSIFICACAO_CANAL,TIPO_CONTEUDO_CANAL,OFERTA_CLIENTE,DATA_INICIO_OFERTA,DENSIDADE_CANAL,NOME_PROGRAMADORA,CNPJ_PROGRAMADORA,CLASSIFICAO_PROGRAMADORA,PAIS_PROGRAMADORA
255,SPORTV 4 HD,4727.30025,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
256,SPORTV 4K,4727.30094,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
257,SPORTV 5,4727.30026,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
258,SPORTV 5 HD,4727.30027,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
259,STAR CHANNEL,6276.30003,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1993-01-01,PADRÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
260,STAR CHANNEL HD,6276.30015,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-06-02,ALTA DEFINIÇÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
261,STUDIO UNIVERSAL,44.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-05-11,PADRÃO,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,01.253.766/0001-40,Programadora brasileira de capital estrangeiro,BRASIL
262,STUDIO UNIVERSAL HD,44.30005,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2017-04-15,ALTA DEFINIÇÃO,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,01.253.766/0001-40,Programadora brasileira de capital estrangeiro,BRASIL
263,SUPER TV HD,37964.30001,Canal de programação comum,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2017-11-13,ALTA DEFINIÇÃO,SUPER TV HD LTDA,28.842.875/0001-50,Programadora brasileira,BRASIL
264,SYFY,44.30003,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-05-11,PADRÃO,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,01.253.766/0001-40,Programadora brasileira de capital estrangeiro,BRASIL
265,SYFY HD,44.30006,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2017-04-15,ALTA DEFINIÇÃO,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,01.253.766/0001-40,Programadora brasileira de capital estrangeiro,BRASIL
266,TBS HD,40403.30008,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-01-16,ALTA DEFINIÇÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
267,TBS SD,40403.30012,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-01-16,PADRÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
268,TCM,40403.30007,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2009-01-01,PADRÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
269,TELECINE ACTION,39.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2000-10-01,PADRÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
270,TELECINE ACTION HD,39.30009,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2010-11-01,ALTA DEFINIÇÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
271,TELECINE CULT,39.30006,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2005-11-01,PADRÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
272,TELECINE CULT HD,39.30014,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-12-01,ALTA DEFINIÇÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
273,TELECINE FUN,39.30004,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2010-10-01,PADRÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
274,TELECINE FUN HD,39.3001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2011-11-01,ALTA DEFINIÇÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
275,TELECINE PIPOCA,39.30005,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2004-10-01,PADRÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
276,TELECINE PIPOCA HD,39.30008,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2010-01-01,ALTA DEFINIÇÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
277,TELECINE PREMIUM,39.30001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2000-10-01,PADRÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
278,TELECINE PREMIUM HD,39.30007,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2009-05-01,ALTA DEFINIÇÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
279,TELECINE TOUCH,39.30003,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2010-10-01,PADRÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
280,TELECINE TOUCH HD,39.30011,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2011-11-01,ALTA DEFINIÇÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
281,TERRA VIVA,3293.3001,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2005-06-27,PADRÃO,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,04.334.366/0001-58,Programadora brasileira,BRASIL
282,THC - THE HISTORY CHANNEL,22399.30001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2001-10-01,PADRÃO,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
283,THC - THE HISTORY CHANNEL HD,22399.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2010-12-01,ALTA DEFINIÇÃO,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
284,THINK TV,46371.30001,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2019-10-01,ALTA DEFINIÇÃO,RCBG LATSCH CANAL DE TELEVISAO LTDA,34.337.977/0001-10,Programadora brasileira,BRASIL
285,TLC,26039.3001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2011-11-01,PADRÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
286,TLC HD,26039.30017,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2015-03-16,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
287,TNT,40403.30003,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1999-09-01,PADRÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
288,TNT HD,40403.30015,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2009-04-01,ALTA DEFINIÇÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
289,TNT SÉRIES HD,40403.30018,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2015-04-01,ALTA DEFINIÇÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
290,TNT SÉRIES SD,40403.30017,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2015-04-01,PADRÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
291,TOONCAST,40403.3001,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2008-12-01,PADRÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
292,TRACE BRAZUCA,45497.30001,Canal de espaço qualificado,Canal de conteúdo videomusical,CANAL OFERTADO EM PACOTE,2020-07-25,ALTA DEFINIÇÃO,TRACE GLOBAL,35.421.267/0001-37,Programadora Estrangeira,FRANÇA
293,TRADE TV,51885.30001,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2022-06-05,ALTA DEFINIÇÃO,TRADE TV LTDA,46.174.704/0001-81,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
294,TRAVEL BOX BRAZIL,4744.30005,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-08-20,PADRÃO,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,07.254.174/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
295,TRAVEL BOX BRAZIL HD,4744.30006,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2015-07-01,ALTA DEFINIÇÃO,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,07.254.174/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
296,TRIP BRASIL,16559.30001,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-03-01,ALTA DEFINIÇÃO,DIGITAL BRASIL TV SOLUÇÕES MULTIMIDIAS LTDA.,09.622.474/0001-40,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
297,TRU TV HD,40403.30014,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2010-07-01,ALTA DEFINIÇÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
298,TRU TV SD,40403.30009,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2009-04-01,PADRÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
299,TV AMBIENTAL,50505.30001,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2019-04-08,ALTA DEFINIÇÃO,AVL PRODUÇÕES LTDA,27.329.556/0001-82,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
300,TV AVIVANDO NAÇÕES,49360.30001,Canal de programação comum,Canal de conteúdo religioso,CANAL OFERTADO EM PACOTE,2021-06-04,ALTA DEFINIÇÃO,MARCIA MORGANA BEZERRA DA SILVA LUCIANO,42.220.755/0001-41,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
301,TV BRUSQUE,46126.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2002-06-10,PADRÃO,EMPRESA BRUSQUENSE DE COMUNICAÇÃO LTDA.,05.124.438/0001-03,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
302,TV CARIRI,40970.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2019-08-22,ALTA DEFINIÇÃO,L. SOARES MARTINS,20.123.556/0001-82,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
303,TV CENTRO SUL,44473.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2019-05-03,ALTA DEFINIÇÃO,SISTEMA VOZ CENTRO SUL LTDA,31.248.895/0001-01,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
304,TV CIDADE CANAL 9 - TERESÓPOLIS,14091.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2002-09-07,PADRÃO,RGS PUBLICIDADE EIRELI,30.918.049/0001-99,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
305,TV CIDADE OESTE,38723.30001,Canal de programação comum,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2018-02-01,PADRÃO,LEMBRANÇA WEB RÁDIO E TV LTDA.-ME,11.244.074/0001-90,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
306,TV CLIMATEMPO,12362.30001,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1999-08-10,PADRÃO,TV METEOROLÓGICA LTDA,03.595.286/0001-93,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
307,TV DIÁRIO DO SERTÃO,39903.30001,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2018-08-01,PADRÃO,SISTEMA DE COMUNICACAO DIARIO LTDA,11.694.678/0001-38,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
308,TV ERECHIM,17382.30001,Canal de programação comum,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2008-08-04,PADRÃO,LD PRODUÇÕES PUBLICITARIAS LTDA,10.335.427/0001-02,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
309,TV GAZETA RN,26981.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2015-08-10,PADRÃO,TELEVISÃO RIO GRANDE DO NORTE EIRELI,19.924.934/0001-48,Sem Informação,BRASIL
310,TV GUIA LOCAL,17050.30001,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2007-01-01,PADRÃO,V.B. MOTER PRODUÇÕES DE VIDEO,07.031.220/0001-21,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
311,TV JAGUÁ NEWS,52855.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2023-01-18,ALTA DEFINIÇÃO,SM BRASIL DE COMUNICACAO LTDA,29.284.918/0001-91,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
312,TV JAGUAR,49484.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2021-09-20,ALTA DEFINIÇÃO,R. LOPES DA COSTA AMARAL,10.489.198/0001-72,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
313,TV KURTIÇÃO,38917.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2019-08-14,ALTA DEFINIÇÃO,QUEIROGA & MEDEIROS LTDA - ME,07.651.720/0001-66,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
314,TV METROPOLITANO,24033.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2013-06-01,PADRÃO,TELEVISÃO METROPOLITANO EIRELI,17.845.847/0001-70,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
315,TV NORDESTINA,44577.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2019-12-01,ALTA DEFINIÇÃO,JOSE ABILIO FELIX DE FIGUEIREDO,17.392.307/0001-88,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
316,TV NOVO TEMPO,13379.30001,Canal de programação comum,Canal de conteúdo religioso,CANAL OFERTADO EM PACOTE,2008-05-30,PADRÃO,REDE NOVO TEMPO DE COMUNICACAO,01.385.423/0001-30,Programadora brasileira,BRASIL
317,TV OOPS,42606.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2018-01-01,ALTA DEFINIÇÃO,TNC SISTEMAS DE TELECOMUNICAÇÕES LTDA,27.170.742/0001-11,Programadora brasileira,BRASIL
318,TV OTIMISTA,46268.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-10-18,ALTA DEFINIÇÃO,O OTIMISTA SERVICO DE COMUNICACAO EIRELI,02.553.273/0001-99,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
319,TV PADRE CICERO,38809.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2018-01-09,ALTA DEFINIÇÃO,FUNDACÃO PADRE CÍCERO DE TELEVISÃO,04.175.120/0001-80,Sem Informação,BRASIL
320,TV RÁ TIM BUM!,1125.30001,Canal brasileiro de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2004-12-12,PADRÃO,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,61.914.891/0001-86,Programadora brasileira independente,BRASIL
321,TV RÁ TIM BUM HD,1125.30002,Canal brasileiro de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2016-12-19,ALTA DEFINIÇÃO,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,61.914.891/0001-86,Programadora brasileira independente,BRASIL
322,TV SUPREN,4619.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2007-12-01,PADRÃO,UNIÃO PLANETÁRIA,02.755.157/0001-52,Sem Informação,BRASIL
323,TV UNIÃO DE NATAL,22468.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2003-03-31,PADRÃO,WMW ENTRETENIMENTO LTDA,01.884.833/0001-25,Programadora brasileira independente,BRASIL
324,TVI,17618.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2005-01-17,PADRÃO,AÇÃO PROGRAMADORA DE CANAIS INDEPENDENTES LTDA - ME,08.594.668/0001-16,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
325,TV5 MONDE,6269.30001,Canal não adaptado ao mercado brasileiro,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",1996-04-15,PADRÃO,TV5 MONDE,00.000.000/0000-00,Programadora Estrangeira,FRANÇA
326,UNIVERSAL TV,44.30001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1996-05-10,PADRÃO,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,01.253.766/0001-40,Programadora brasileira de capital estrangeiro,BRASIL
327,UNIVERSAL TV HD,44.30004,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2013-07-01,ALTA DEFINIÇÃO,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,01.253.766/0001-40,Programadora brasileira de capital estrangeiro,BRASIL
328,URBAN TV,45652.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-20,PADRÃO,URBAN TV BRASIL COMUNICAÇÕES LTDA.,36.332.833/0001-05,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
329,VENUS,13263.30004,Canal de programação comum,Canal de conteúdo erótico,"CANAL À LA CARTE, PAY-PER-VIEW",2008-12-10,PADRÃO,PB BRASIL ENTRETENIMENTO S/A,08.844.841/0001-97,Programadora brasileira de capital estrangeiro,BRASIL
330,VH1 HD,6209.30006,Canal não adaptado ao mercado brasileiro,Canal de conteúdo videomusical,CANAL OFERTADO EM PACOTE,2009-12-01,ALTA DEFINIÇÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
331,VH1 MEGAHITS,6209.30005,Canal não adaptado ao mercado brasileiro,Canal de conteúdo videomusical,CANAL OFERTADO EM PACOTE,2010-01-31,PADRÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
332,VINTV,42577.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2019-01-01,PADRÃO,SERTÃO & MAR COMUNICAÇÕES LTDA,22.855.801/0001-71,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
333,VIVA,4727.3012,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
334,VIVA HD,4727.30022,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
335,WARNER CHANNEL,40403.30029,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1996-11-01,PADRÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
336,WARNER CHANNEL HD,40403.3003,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1996-11-01,ALTA DEFINIÇÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
337,WOOHOO,21229.30001,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2006-05-22,PADRÃO,NOVAS MIDIAS DIGITAIS PROGRAMADORA LTDA,07.906.636/0001-46,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
338,WOOHOO HD,21229.30002,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2017-11-30,ALTA DEFINIÇÃO,NOVAS MIDIAS DIGITAIS PROGRAMADORA LTDA,07.906.636/0001-46,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
339,ZOOMOO KIDS,47057.30001,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2020-11-10,PADRÃO,STENNA INTERNATIONAL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
340,ZOOMOO KIDS (HD),47057.30002,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2020-11-10,ALTA DEFINIÇÃO,STENNA INTERNATIONAL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
